,Position,Laps,Time,Average,Best,Laps Leading,Name,Points
0,1,30,11:20.014,22.667,30/19.501,11,Atomic Chibi,50
1,2,30,11:22.749,22.758,29/19.084,8,Lego Car,40
2,3,30,11:36.034,23.201,2/19.707,0,RU Greasy,36
3,4,28,11:29.735,24.633,17/21.990,0,The Bus,32
4,5,28,11:34.684,24.81,23/22.117,0,Amazon Box,30
5,6,27,11:36.440,25.794,10/22.462,0,Blue Meanie,28
6,7,27,11:39.702,25.915,15/19.236,2,Electric Koolaid Acid Test,26
7,8,22,11:26.011,31.182,4/26.520,0,MAV 721,24
8,9,21,11:35.918,33.139,14/31.678,0,Smoothie,22
9,10,20,11:43.065,35.153,13/30.852,0,Maximum Overdrive,20
10,11,19,11:34.858,36.571,18/20.315,0,FUBAR,18
11,12,16,8:15.778,30.986,9/25.756,0,Aerobot,16
12,13,15,11:36.035,46.402,7/28.310,0,Train Wrecks,14
13,14,15,11:40.800,46.72,7/31.890,0,Go Shopping Kart,12
14,15,11,5:36.293,30.572,4/23.936,0,LIVFREE,10
15,16,9,3:28.135,23.126,2/18.296,9,Lightning McQueen,8
16,17,1,33.660,33.66,2/999.000,0,ITSABert,6
17,18,1,7:23.381,443.381,4/999.000,0,The Chariot,4
